Column_Index,Short_Name,Clean_Column_Name,Raw_Column_Name,Data_Type,Question_Type,Potential_Role,Total_Responses,Valid_Responses,Missing_Count,Missing_Percentage,Unique_Categories_Count,Sample_Categories
0,Timestamp,Timestamp,Timestamp,object,Metadata / Timestamp,Metadata / Identifier,521,521,0,0.0,502,09-09-2026 07:36 | 09-09-2026 19:19 | 09-09-2026 19:23 | 09-09-2026 19:26
1,Age,[SECTION A: Basic Information] 1. What is your age?,"[SECTION A: Basic Information]

 1. What is your age?",object,Demographic (Ordinal),Feature,521,519,2,0.38,6,18–22 | 23–30 | Above 30 | Below 18
2,Gender,2. What is your gender?,2. What is your gender?,object,Demographic (Nominal),Feature,521,519,2,0.38,4,Female | Male | Prefer not to say | Non-binary
3,Platforms_Used,[SECTION B: Social Media Usage] 3. Which social media platforms do you use regularly? (Select all that apply),"[SECTION B: Social Media Usage] 

3. Which social media platforms do you use regularly? (Select all that apply)",object,Survey Feature (Multiselect),Feature,521,519,2,0.38,15,"Instagram, WhatsApp, YouTube | WhatsApp | Instagram | WhatsApp, YouTube, X (Twitter)"
4,Daily_Usage_Hours,4. How many hours do you spend on social media per day?,4. How many hours do you spend on social media per day?,object,Survey Feature (Usage Intensity),Feature,521,519,2,0.38,4,3–5 hours | 1–3 hours | More than 5 hours | Less than 1 hour
5,Experienced_Cyberbullying,[SECTION C: Cyberbullying Experience] 5. Have you personally experienced cyberbullying or online harassment on social media?,"[SECTION C: Cyberbullying Experience] 

5. Have you personally experienced cyberbullying or online harassment on social media?",object,Survey Feature (Victimization),Feature,521,518,3,0.58,2,Yes | No
6,Witnessed_Cyberbullying,6. Have you ever witnessed someone being cyberbullied?,6. Have you ever witnessed someone being cyberbullied?,object,Survey Feature (Bystander),Feature,521,519,2,0.38,2,No | Yes
7,Posted_Offensive_Content,"7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?","7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?",object,Survey Feature (Perpetration),Feature,521,519,2,0.38,3,Yes | No | Not Sure
8,Offensive_Action_Reason,"8. If yes, what was the main reason for your action?","8. If yes, what was the main reason for your action?",object,Survey Feature (Conditional / Skip-Logic),Feature (Conditional),521,147,374,71.79,8,I was angry | It was a joke | Self-defense | I did not realize it was harmful
9,Cyberbullying_Types_Observed,9. What type of cyberbullying have you experienced or observed? (Select all that apply),9. What type of cyberbullying have you experienced or observed? (Select all that apply),object,Survey Feature (Bullying Modality),Feature,521,511,10,1.92,40,"Offensive Comments, Body Shaming, Threats, Fake Rumors, Fake Profile | Offensive Comments, Body Shaming, Hate Speech, Fake Profile | Threats, Sexual Harassment | Offensive Comments, Hate Speech, Fake Rumors, Stalking"
10,Incident_Platform,10. On which social media platform did the incident occur?,10. On which social media platform did the incident occur?,object,Survey Feature (Incident Context),Feature,521,509,12,2.3,5,Instagram | WhatsApp | Facebook | Others
11,Cyberbullying_Frequency,11. How often have you experienced cyberbullying or online harassment?,11. How often have you experienced cyberbullying or online harassment?,object,Survey Feature (Frequency / Chronicity),Feature,521,512,9,1.73,5,Rarely | Sometimes | Never | Often
12,Mental_Health_Impact,[SECTION D: Mental Health Impact] 12. Do you think cyberbullying or online harassment affected your mental health?,"[SECTION D: Mental Health Impact] 

12. Do you think cyberbullying or online harassment affected your mental health?",object,Primary Target Variable (Ordinal),Target,521,514,7,1.34,4,Not at all | Slightly | Severely | Moderately
13,Negative_Emotional_Symptoms,13. Which of the following did you experience? (Select all that apply),13. Which of the following did you experience? (Select all that apply),object,Survey Feature (Symptomatology),Feature,521,512,9,1.73,20,"Stress, Anxiety, Depression | Anxiety | Anger | Stress"
14,Emotional_Impact_Severity,"14. On a scale of 1–5, how severe was the emotional impact?","14. On a scale of 1–5, how severe was the emotional impact?",object,Survey Feature (Emotional Scale 1-5),Feature,521,509,12,2.3,5,1 (Very Low) | 4 | 2 | 3
15,Sought_Help,15. Did you seek help from anyone? (Select all that apply),15. Did you seek help from anyone? (Select all that apply),object,Survey Feature (Help-Seeking / Coping),Feature,521,510,11,2.11,16,"Friends, Family, Teacher | Friends, Family, Helpline | Family, Psychologist | Friends, Counselor, Psychologist"
16,Reason_Not_Reported,"[SECTION E: Cyber Law Awareness and Prevention] 16. If you did not report the incident, what was the main reason?","[SECTION E: Cyber Law Awareness and Prevention] 

16. If you did not report the incident, what was the main reason?",object,Survey Feature (Legal Barrier / Skip-Logic),Feature (Conditional),521,427,94,18.04,6,Fear | Lack of Awareness | Privacy Concerns | Didn't know how to report
17,Harassment_Context_Area,17. In which area did you experience cyberbullying or online harassment?,17. In which area did you experience cyberbullying or online harassment?,object,Survey Feature (Incident Context Area),Feature,521,505,16,3.07,8,Workplace | Friends Circle | Social Media Community | Unknown Stranger
18,Action_Taken,18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply),18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply),object,Survey Feature (Coping Action),Feature,521,505,16,3.07,16,"Ignored it, Blocked the user | Blocked the user | Told Friends / Family | Ignored it"
