Timestamp,[SECTION A: Basic Information] 1. What is your age?,2. What is your gender?,[SECTION B: Social Media Usage] 3. Which social media platforms do you use regularly? (Select all that apply),4. How many hours do you spend on social media per day?,[SECTION C: Cyberbullying Experience] 5. Have you personally experienced cyberbullying or online harassment on social media?,6. Have you ever witnessed someone being cyberbullied?,"7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?","8. If yes, what was the main reason for your action?",9. What type of cyberbullying have you experienced or observed? (Select all that apply),10. On which social media platform did the incident occur?,11. How often have you experienced cyberbullying or online harassment?,[SECTION D: Mental Health Impact] 12. Do you think cyberbullying or online harassment affected your mental health?,13. Which of the following did you experience? (Select all that apply),"14. On a scale of 1–5, how severe was the emotional impact?",15. Did you seek help from anyone? (Select all that apply),"[SECTION E: Cyber Law Awareness and Prevention] 16. If you did not report the incident, what was the main reason?",17. In which area did you experience cyberbullying or online harassment?,18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply)
09-09-2026 07:36,18–22,Female,"Instagram, WhatsApp, YouTube",3–5 hours,Yes,No,Yes,I was angry,"Offensive Comments, Body Shaming, Threats, Fake Rumors, Fake Profile",Instagram,Rarely,Not at all,"Stress, Anxiety, Depression",1 (Very Low),"Friends, Family, Teacher",Fear,Workplace,"Ignored it, Blocked the user"
09-09-2026 19:19,18–22,Male,"Instagram, WhatsApp, YouTube",3–5 hours,Yes,Yes,No,It was a joke,"Offensive Comments, Body Shaming, Hate Speech, Fake Profile",Instagram,Rarely,Slightly,Anxiety,4,"Friends, Family, Helpline",Fear,Friends Circle,Blocked the user
09-09-2026 19:23,18–22,Male,WhatsApp,1–3 hours,Yes,Yes,Yes,Self-defense,"Threats, Sexual Harassment",WhatsApp,Sometimes,Slightly,Anger,2,"Family, Psychologist",Lack of Awareness,Friends Circle,Told Friends / Family
09-09-2026 19:26,18–22,Female,Instagram,3–5 hours,No,No,Yes,It was a joke,"Offensive Comments, Hate Speech, Fake Rumors, Stalking",Instagram,Rarely,Not at all,Stress,2,"Friends, Counselor, Psychologist",Lack of Awareness,Social Media Community,Blocked the user
09-09-2026 19:26,18–22,Female,"WhatsApp, YouTube, X (Twitter)",More than 5 hours,No,Yes,No,Not Applicable,"Offensive Comments, Body Shaming, Fake Rumors, Fake Profile",Instagram,Never,Not at all,None,1 (Very Low),No,Not Applicable,,
09-09-2026 19:30,18–22,Male,Instagram,3–5 hours,No,No,Not Sure,I did not realize it was harmful,Fake Rumors,Instagram,Never,Not at all,Stress,2,"Friends, No",Privacy Concerns,Unknown Stranger,Ignored it
09-09-2026 19:35,23–30,Male,"Instagram, WhatsApp",1–3 hours,Yes,No,Yes,I did not realize it was harmful,"Offensive Comments, Hate Speech, Fake Rumors, Fake Profile, Stalking",Facebook,Sometimes,Not at all,Anxiety,1 (Very Low),"Friends, Family, Teacher",Lack of Awareness,Social Media Community,Reported the account
09-09-2026 19:38,18–22,Female,WhatsApp,Less than 1 hour,Yes,Yes,Yes,Peer pressure,Hate Speech,Instagram,Sometimes,Slightly,"Stress, Anger",3,Family,Didn't know how to report,Workplace,Blocked the user
09-09-2026 19:38,18–22,Female,"Instagram, WhatsApp",More than 5 hours,No,No,Not Sure,I did not realize it was harmful,Other,Others,Never,Slightly,None,1 (Very Low),Friends,Fear,Other,"Ignored it, Blocked the user"
09-09-2026 19:38,18–22,Female,"Instagram, WhatsApp, YouTube, Others",1–3 hours,No,Yes,Not Sure,It was a joke,Other,Others,Never,Not at all,"Stress, Anxiety, Depression, Anger, None",3,Friends,Privacy Concerns,Other,"Ignored it, Blocked the user, Reported the account, Took No Action"
09-09-2026 19:45,18–22,Female,"WhatsApp, YouTube",More than 5 hours,No,No,Not Sure,I did not realize it was harmful,Hate Speech,Instagram,Never,Not at all,None,3,"Friends, Family, Teacher",Fear,School / College,Ignored it
09-09-2026 19:48,18–22,Male,"Instagram, WhatsApp",3–5 hours,Yes,No,No,Peer pressure,"Hate Speech, Threats, Sexual Harassment",Facebook,Never,Slightly,Stress,4,Friends,Lack of Awareness,Friends Circle,Told Friends / Family
09-09-2026 19:51,23–30,Female,"Instagram, WhatsApp, YouTube",1–3 hours,No,No,Not Sure,I did not realize it was harmful,Fake Rumors,Instagram,Sometimes,Not at all,"Stress, Loss of Confidence",1 (Very Low),Friends,Privacy Concerns,Workplace,Reported the account
09-09-2026 19:51,18–22,Female,"Instagram, WhatsApp",3–5 hours,No,No,No,Self-defense,"Body Shaming, Fake Profile, Stalking",Instagram,Rarely,Not at all,None,1 (Very Low),No,Didn't think it was serious,School / College,Ignored it
09-09-2026 19:52,18–22,Female,Instagram,3–5 hours,No,No,No,I was angry,Threats,Others,Rarely,Severely,"Stress, Anxiety, Depression, Anger, Loss of Confidence",1 (Very Low),"Friends, Family",Privacy Concerns,Other,Blocked the user
09-09-2026 19:53,18–22,Male,"Instagram, WhatsApp",1–3 hours,No,No,No,Self-defense,Threats,Instagram,Never,Not at all,Stress,2,"Friends, Family",Fear,School / College,"Ignored it, Blocked the user"
09-09-2026 19:53,18–22,Female,"Instagram, WhatsApp, YouTube",3–5 hours,No,Yes,No,Not Applicable,,,,,,,,Not Applicable,,
09-09-2026 19:55,18–22,Female,"Instagram, WhatsApp, YouTube",3–5 hours,Yes,Yes,Yes,I was angry,"Offensive Comments, Body Shaming, Hate Speech, Fake Rumors, Fake Profile, Impersonation, Sexual Harassment, Stalking",Instagram,Sometimes,Moderately,"Stress, Depression, Loss of Confidence",4,No,Privacy Concerns,Social Media Community,Reported the account
09-09-2026 19:55,18–22,Male,Instagram,3–5 hours,Yes,No,Not Sure,I did not realize it was harmful,Sexual Harassment,WhatsApp,Sometimes,Not at all,Anger,3,Teacher,Privacy Concerns,Workplace,Took No Action
09-09-2026 19:56,18–22,Male,"Instagram, WhatsApp, YouTube",1–3 hours,No,No,Not Sure,It was a joke,Offensive Comments,Others,Often,Moderately,None,4,Helpline,Privacy Concerns,Other,Sought Professional Help
09-09-2026 19:57,18–22,Female,Instagram,1–3 hours,No,No,No,I did not realize it was harmful,,,Rarely,Slightly,None,1 (Very Low),No,Lack of Awareness,,
09-09-2026 19:59,18–22,Female,"Instagram, WhatsApp",More than 5 hours,Yes,Yes,Yes,I was angry,"Offensive Comments, Body Shaming",Instagram,Rarely,Severely,"Depression, Anger, Loss of Confidence",4,Friends,Privacy Concerns,Unknown Stranger,Told Friends / Family
09-09-2026 20:00,Above 30,Male,"Instagram, WhatsApp, YouTube, Facebook",Less than 1 hour,No,No,No,Not Applicable,Other,Instagram,Never,Not at all,None,1 (Very Low),"Friends, Family",Privacy Concerns,Other,"Ignored it, Blocked the user"
09-09-2026 20:00,18–22,Female,Instagram,Less than 1 hour,No,No,No,Not Applicable,,,,,None,,,Not Applicable,,
