Analysis_Type,Comparison,Sample_Size,Statistic,p_value,Significant_alpha_0_05,Summary_Interpretation
Chi-Square Test of Independence,Experienced_Cyberbullying × Mental_Health_Impact,513,"Chi2 = 146.281, df = 3",1.6709e-31,True,Statistically significant association detected (p < 0.05). There is sample evidence of dependence between Experienced_Cyberbullying and Mental Health Impact.
Chi-Square Test of Independence,Cyberbullying_Frequency × Mental_Health_Impact,511,"Chi2 = 51.744, df = 12",6.8808e-07,True,Statistically significant association detected (p < 0.05). There is sample evidence of dependence between Cyberbullying_Frequency and Mental Health Impact.
Chi-Square Test of Independence,Incident_Platform × Mental_Health_Impact,508,"Chi2 = 21.736, df = 12",4.0582e-02,True,Statistically significant association detected (p < 0.05). There is sample evidence of dependence between Incident_Platform and Mental Health Impact.
Chi-Square Test of Independence,Witnessed_Cyberbullying × Mental_Health_Impact,514,"Chi2 = 3.340, df = 3",3.4208e-01,False,No statistically significant association detected (p >= 0.05). Null hypothesis of independence cannot be rejected.
Chi-Square Test of Independence,Daily_Usage_Hours × Mental_Health_Impact,514,"Chi2 = 8.982, df = 9",4.3899e-01,False,No statistically significant association detected (p >= 0.05). Null hypothesis of independence cannot be rejected.
Chi-Square Test of Independence,Gender × Mental_Health_Impact,514,"Chi2 = 13.588, df = 9",1.3774e-01,False,No statistically significant association detected (p >= 0.05). Null hypothesis of independence cannot be rejected.
Chi-Square Test of Independence,Posted_Offensive_Content × Mental_Health_Impact,514,"Chi2 = 11.790, df = 6",6.6814e-02,False,No statistically significant association detected (p >= 0.05). Null hypothesis of independence cannot be rejected.
Chi-Square Test of Independence,Harassment_Context_Area × Mental_Health_Impact,505,"Chi2 = 24.442, df = 21",2.7212e-01,False,No statistically significant association detected (p >= 0.05). Null hypothesis of independence cannot be rejected.
Independent-Samples Welch's T-Test (Unequal Variances),Emotional_Impact_Severity (1 to 5 scale) across Experienced_Cyberbullying,"N1=168, N2=340","t = 12.976, df = 246.39",1.0795e-29,True,Statistically significant difference in mean emotional impact severity between participants who personally experienced cyberbullying and those who did not (p < 0.001).
Independent-Samples Student's T-Test (Pooled Variance),Emotional_Impact_Severity (1 to 5 scale) across Experienced_Cyberbullying,"N1=168, N2=340","t = 14.691, df = 506.0",5.9671e-41,True,Statistically significant difference under standard pooled-variance assumption (p < 0.001).
Spearman Rank Correlation,Cyberbullying_Frequency vs Mental_Health_Impact,511,Spearman rho = 0.2420,3.0154e-08,True,"Statistically significant positive monotonic association (rho = 0.242, p < 0.05)."
Spearman Rank Correlation,Emotional_Impact_Severity vs Mental_Health_Impact,509,Spearman rho = 0.3185,1.8463e-13,True,"Statistically significant positive monotonic association (rho = 0.318, p < 0.05)."
Spearman Rank Correlation,Cyberbullying_Frequency vs Emotional_Impact_Severity,506,Spearman rho = 0.2776,2.0835e-10,True,"Statistically significant positive monotonic association (rho = 0.278, p < 0.05)."
Spearman Rank Correlation,Daily_Usage_Hours vs Mental_Health_Impact,514,Spearman rho = -0.0183,6.7939e-01,False,"No statistically significant monotonic association detected (rho = -0.018, p >= 0.05)."
Spearman Rank Correlation,Daily_Usage_Hours vs Emotional_Impact_Severity,509,Spearman rho = 0.0358,4.2000e-01,False,"No statistically significant monotonic association detected (rho = 0.036, p >= 0.05)."
Spearman Rank Correlation,Daily_Usage_Hours vs Cyberbullying_Frequency,512,Spearman rho = -0.0583,1.8805e-01,False,"No statistically significant monotonic association detected (rho = -0.058, p >= 0.05)."
