Index,Column_Name,Data_Type,Total_Responses,Valid_Responses,Missing_Count,Missing_Percentage (%),Unique_Categories,Sample_Categories
0,Timestamp,object,519,519,0,0.0,500,"['09-09-2026 07:36', '09-09-2026 19:19', '09-09-2026 19:23']"
1,"[SECTION A: Basic Information]

 1. What is your age?",object,519,519,0,0.0,6,"['18–22', '23–30', 'Above 30']"
2,2. What is your gender?,object,519,519,0,0.0,4,"['Female', 'Male', 'Prefer not to say']"
3,"[SECTION B: Social Media Usage] 

3. Which social media platforms do you use regularly? (Select all that apply)",object,519,519,0,0.0,15,"['Instagram, WhatsApp, YouTube', 'WhatsApp', 'Instagram']"
4,4. How many hours do you spend on social media per day?,object,519,519,0,0.0,4,"['3â€“5 hours', '1â€“3 hours', 'More than 5 hours']"
5,"[SECTION C: Cyberbullying Experience] 

5. Have you personally experienced cyberbullying or online harassment on social media?",object,519,518,1,0.19,2,"['Yes', 'No']"
6,6. Have you ever witnessed someone being cyberbullied?,object,519,519,0,0.0,2,"['No', 'Yes']"
7,"7. Have you ever posted, shared, or sent a message online that could have hurt or offended someone?",object,519,519,0,0.0,3,"['Yes', 'No', 'Not Sure']"
8,"8. If yes, what was the main reason for your action?",object,519,147,372,71.68,8,"['I was angry', 'It was a joke', 'Self-defense']"
9,9. What type of cyberbullying have you experienced or observed? (Select all that apply),object,519,511,8,1.54,40,"['Offensive Comments, Body Shaming, Threats, Fake Rumors, Fake Profile', 'Offensive Comments, Body Shaming, Hate Speech, Fake Profile', 'Threats, Sexual Harassment']"
10,10. On which social media platform did the incident occur?,object,519,509,10,1.93,5,"['Instagram', 'WhatsApp', 'Facebook']"
11,11. How often have you experienced cyberbullying or online harassment?,object,519,512,7,1.35,5,"['Rarely', 'Sometimes', 'Never']"
12,"[SECTION D: Mental Health Impact] 

12. Do you think cyberbullying or online harassment affected your mental health?",object,519,514,5,0.96,4,"['Not at all', 'Slightly', 'Severely']"
13,13. Which of the following did you experience? (Select all that apply),object,519,290,229,44.12,19,"['Stress, Anxiety, Depression', 'Anxiety', 'Anger']"
14,"14. On a scale of 1â€“5, how severe was the emotional impact?",object,519,509,10,1.93,5,"['1 (Very Low)', '4', '2']"
15,15. Did you seek help from anyone? (Select all that apply),object,519,510,9,1.73,16,"['Friends, Family, Teacher', 'Friends, Family, Helpline', 'Family, Psychologist']"
16,"[SECTION E: Cyber Law Awareness and Prevention] 

16. If you did not report the incident, what was the main reason?",object,519,427,92,17.73,6,"['Fear', 'Lack of Awareness', 'Privacy Concerns']"
17,17. In which area did you experience cyberbullying or online harassment?,object,519,505,14,2.7,8,"['Workplace', 'Friends Circle', 'Social Media Community']"
18,18. What action did you take after experiencing cyberbullying or online harassment? (Select all that apply),object,519,505,14,2.7,16,"['Ignored it, Blocked the user', 'Blocked the user', 'Told Friends / Family']"
