Variable,Category,Frequency,Percentage (%)
Mental Health Impact (Target),Not at all,229,44.12
Mental Health Impact (Target),Slightly,137,26.4
Mental Health Impact (Target),Moderately,107,20.62
Mental Health Impact (Target),Severely,41,7.9
Mental Health Impact (Target),nan,5,0.96
Age Category,18–22,331,63.78
Age Category,23–30,130,25.05
Age Category,31–40,35,6.74
Age Category,41–50,15,2.89
Age Category,Below 18,6,1.16
Age Category,Above 30,2,0.39
Gender Identity,Male,279,53.76
Gender Identity,Female,226,43.55
Gender Identity,Prefer not to say,7,1.35
Gender Identity,Non-binary,7,1.35
Daily Usage Hours,1â€“3 hours,222,42.77
Daily Usage Hours,3â€“5 hours,158,30.44
Daily Usage Hours,More than 5 hours,83,15.99
Daily Usage Hours,Less than 1 hour,56,10.79
Personally Experienced Cyberbullying,No,350,67.44
Personally Experienced Cyberbullying,Yes,168,32.37
Personally Experienced Cyberbullying,nan,1,0.19
Cyberbullying Encounter Frequency,Never,201,38.73
Cyberbullying Encounter Frequency,Rarely,188,36.22
Cyberbullying Encounter Frequency,Sometimes,85,16.38
Cyberbullying Encounter Frequency,Often,23,4.43
Cyberbullying Encounter Frequency,Very Often,15,2.89
Cyberbullying Encounter Frequency,nan,7,1.35
Incident Social Media Platform,Instagram,212,40.85
Incident Social Media Platform,WhatsApp,125,24.08
Incident Social Media Platform,Others,75,14.45
Incident Social Media Platform,YouTube,67,12.91
Incident Social Media Platform,Facebook,30,5.78
Incident Social Media Platform,nan,10,1.93
Harassment Context / Area,Social Media Community,155,29.87
Harassment Context / Area,Unknown Stranger,89,17.15
Harassment Context / Area,School / College,58,11.18
Harassment Context / Area,Friends Circle,53,10.21
Harassment Context / Area,Family,51,9.83
Harassment Context / Area,Other,49,9.44
Harassment Context / Area,Online Gaming,45,8.67
Harassment Context / Area,nan,14,2.7
Harassment Context / Area,Workplace,5,0.96
