Feature,Mean_Abs_SHAP_Overall,Mean_Abs_SHAP_Not at all,Mean_Abs_SHAP_Slightly,Mean_Abs_SHAP_Moderately,Mean_Abs_SHAP_Severely
Experienced_Cyberbullying_Binary,0.07441055636143881,0.10891358243414577,0.0399152970769145,0.058237875237088545,0.09057547069760659
Cyberbullying_Frequency_Ordinal,0.019097118622456357,0.02762922854893364,0.014084708248478964,0.015090948880818446,0.01958358881159435
Gender_Male,0.010306148068697075,0.007370975603908792,0.00761081007241699,0.013219090300053356,0.013023716298409177
Sought_Help_No,0.01002060863561197,0.010238634313948109,0.009902822247305777,0.014644668741756173,0.005296309239437806
Incident_Platform_WhatsApp,0.009801520052186692,0.0067637001216680395,0.010814780296312845,0.005903957772417616,0.01572364201834826
Incident_Platform_Instagram,0.009567922008092727,0.007455368791213724,0.012499450122996875,0.006971551349242909,0.011345317768917387
Gender_Female,0.009543602833088263,0.008843784283767099,0.00599970145407653,0.0084129854251709,0.014917940169338529
Witnessed_Cyberbullying_Binary,0.009303192041052424,0.008059282005915448,0.006371556562718098,0.011720369293234814,0.011061560302341344
Bullying_Type_Body Shaming,0.008841029020175275,0.006381393445428683,0.010737615194970266,0.014702119016867318,0.0035429884234348162
Platform_Used_YouTube,0.008426869297987616,0.007062455973315573,0.005890584950113461,0.009347894727216722,0.011406541541304719
Action_Taken_Ignored it,0.00842287149770814,0.010902977594041595,0.007291499210919379,0.007046590891325874,0.00845041829454572
Daily_Usage_Ordinal,0.008409880909539622,0.010783831271042052,0.008086851217172487,0.008552986544199245,0.006215854605744694
Action_Taken_Blocked the user,0.008073198482364796,0.012289620587316448,0.006388630113017997,0.008645261169091823,0.004969282060032915
Age_Ordinal,0.008040360156690454,0.008952213696742588,0.011979989880696243,0.0065568801014961545,0.004672356947826835
Sought_Help_Family,0.007826113580607029,0.0101011568480666,0.006478886115828435,0.010319372121474631,0.004405039237058456
Action_Taken_Told Friends / Family,0.0074292965392759435,0.008778941781077727,0.005531090951801331,0.0032361316826812884,0.012171021741543428
Bullying_Type_Offensive Comments,0.006732605160294475,0.007664134425124257,0.005742930409801176,0.006960447773937474,0.006562908032314989
Action_Taken_Took No Action,0.006590795232549183,0.006094876444181946,0.010238430819268082,0.004633804044013961,0.005396069622732736
Context_Area_Family,0.006425036465587627,0.010806822315050953,0.00353073926277768,0.009465822026366748,0.0018967622581551277
Sought_Help_Friends,0.006408731957370474,0.006852355406654252,0.006470753383569154,0.00489102412226103,0.0074207949169974525
Bullying_Type_Fake Rumors,0.00631788557623171,0.006903196930574018,0.005346577464629698,0.008802802790780603,0.004218965118942528
Context_Area_Social Media Community,0.0061835295769987085,0.006336253348319939,0.00548990175395586,0.0062238362605763,0.006684126945142737
Bullying_Type_Fake Profile,0.006075746747301196,0.006593411840977941,0.0072813988793057885,0.004820631352562605,0.005607544916358451
Platform_Used_Instagram,0.0057382058219537044,0.007018663707923869,0.006101124065388109,0.004554238177030646,0.0052787973374721926
Bullying_Type_Hate Speech,0.005710659691388498,0.004158238440596406,0.008624496507762171,0.0042054920179274485,0.005854411799267959
Posted_Offensive_Yes,0.005681314809602998,0.005793922925892748,0.005205815505117562,0.005674017369447225,0.006051503437954465
Posted_Offensive_No,0.0053061188476150175,0.00443605791333304,0.003647601332707395,0.00897634904518542,0.004164467099234209
Platform_Used_WhatsApp,0.005204421124569358,0.0072738880904593675,0.0068893818598591144,0.003140196243769231,0.0035142183041897155
Incident_Platform_YouTube,0.0050603520920505345,0.007971119708991628,0.00737204456014641,0.002691252427621053,0.0022069916714430367
Sought_Help_Psychologist,0.004604580450416175,0.006377020401728252,0.0029114437079037297,0.0035794423182871275,0.005550415373745587
Action_Taken_Reported the account,0.004546504286929776,0.0056287502091868025,0.0060708702879838285,0.0036901781437229486,0.002796218506825521
Context_Area_School / College,0.0039020787645986156,0.002920296614380886,0.003170844180133326,0.0040120309139470185,0.005505143349933234
Context_Area_Unknown Stranger,0.003887095407525391,0.004856022012992046,0.003999522839793565,0.0032945861332824623,0.0033982506440334848
