Analysis,Variables,Test,Statistic,p_value,Effect_Size,Interpretation
Categorical Association,Cyberbullying Exposure × Mental Health Impact,Pearson's Chi-Square Test,"Chi2 = 146.28, df = 3",1.6709e-31,Cramer's V = 0.534 (Large),Statistically significant association; victimization status partitions impact tiers.
Categorical Association,Cyberbullying Frequency × Mental Health Impact,Pearson's Chi-Square Test,"Chi2 = 51.74, df = 12",6.8808e-07,Cramer's V = 0.184 (Medium),Statistically significant association; repeated encounters correlate with higher impact tiers.
Exact 2x2 Contingency,Cyberbullying Exposure × Elevated Impact,Fisher's Exact Test,Odds Ratio = 0.11,8.5899e-26,OR = 0.11,Victims exhibit over 9-fold higher odds of reporting elevated mental health impact.
Two-Group Difference,Emotional Severity across Cyberbullying Exposure,Welch's Independent T-Test,"t = 12.976, df = 246.4",1.0795e-29,Cohen's d = 1.385 (Large),Victims report significantly higher emotional impact severity than non-victims.
Two-Group Difference (Non-Parametric),Emotional Severity across Cyberbullying Exposure,Mann-Whitney U Test,U = 45683.0,1.8231e-31,Rank-Biserial r = -0.600,Robust confirmation: Emotional impact distribution differs significantly between groups.
Multi-Group Variance,Emotional Severity across 4 Impact Tiers,One-Way ANOVA,"F = 22.150, df = (3, 508)",1.7276e-13,Eta-squared = 0.1163 (Large),Substantial proportion of variance in emotional severity is accounted for by impact tiers.
Multi-Group Variance (Non-Parametric),Emotional Severity across 4 Impact Tiers,Kruskal-Wallis H Test,"H = 54.647, df = 3",8.1650e-12,Epsilon-squared = 0.198,Significant step-wise increase in median emotional severity across impact tiers.
Multi-Group Variance (Non-Significant),Daily Usage Hours across 4 Impact Tiers,One-Way ANOVA,"F = 0.484, df = (3, 508)",6.9368e-01,Eta-squared = 0.0028 (Negligible),No significant difference; daily screen time alone does not differentiate impact levels.
Monotonic Correlation,Emotional Severity vs Mental Health Impact,Spearman Rank Correlation,rho = 0.319,1.8463e-13,rho = 0.319 (Moderate),Statistically significant positive correlation; higher emotional severity aligns with higher impact.
Monotonic Correlation,Cyberbullying Frequency vs Mental Health Impact,Spearman Rank Correlation,rho = 0.242,3.0154e-08,rho = 0.242 (Weak-to-Moderate),Statistically significant positive correlation between encounter frequency and impact.
